doc_id,chunk_id,sentence_text,a_raw_text,a_class,d_surface,d_class,i_phrase_text,c_texts,b_text,o_local_present,o_local_text,statement_type_candidate,iad_rule_type_primary,iad_rule_type_hits,iad_rule_type_n_hits,iad_boundary,iad_position,iad_choice,iad_information,iad_scope,iad_aggregation,iad_payoff,is_education_relevant,is_education_in_title,manual_primary_rule_type,manual_secondary_rule_types,manual_is_unclear,manual_notes,manual_confidence,manual_reviewer
022c930c18687f91,449,"It sets outs why fundamental aspects of building AI such as underlying assumptions, abstractions used to model a problem, the selection of target variables or the tendency to over-rely on quantifiable proxies may have an impact on fairness.","abstractions used to model a problem , the selection of target variables or the tendency to over - rely on quantifiable proxies",explicit,may,permission,have an impact on fairness,,model,True,This chapter also explains the different sources of bias that can lead to unfairness and possible mitigation measures.,rule_candidate,scope,choice|scope,2,0,0,1,0,1,0,0,0,0,,,,,,
022c930c18687f91,449,This chapter also explains the different sources of bias that can lead to unfairness and possible mitigation measures.,that,explicit,can,permission,lead,,,True,This chapter also explains the different sources of bias that can lead to unfairness and possible mitigation measures.,rule_candidate,choice,choice,1,0,0,1,0,0,0,0,0,0,,,,,,
022c930c18687f91,599,"Beyond this, AI can also involve several processing operations that are themselves likely to result in a high risk, such as use of new technologies or novel application of existing technologies, data matching, invisible processing, and tracking of location or behaviour.",AI,explicit,can,permission,"involve several processing operations that are themselves likely to result in a high risk , such as use of new technologies or novel application of existing technologies , data matching , invisible processing , and tracking of location or behaviour",,data,True,"Beyond this, AI can also involve several processing operations that are themselves likely to result in a high risk, such as use of new technologies or novel application of existing technologies, data matching, invisible processing, and tracking of location or behaviour.",rule_candidate,choice,choice,1,0,0,1,0,0,0,0,0,0,,,,,,
022c930c18687f91,691,This can raise broader questions outside the scope of this guidance.,This,explicit,can,permission,raise broader questions outside the scope of this guidance,,,True,"For example, questions about the types of scenario that could result in an organisation becoming a controller, which may include when an organisation makes decisions about: the source and nature of the data used to train an AI model; the target output of the model (what is being predicted or classified); the broad kinds of ML algorithms that will be used to create models from the data (eg regression models,",rule_candidate,position,choice|position|scope,3,0,1,1,0,1,0,0,0,0,,,,,,
022c930c18687f91,691,"For example, questions about the types of scenario that could result in an organisation becoming a controller, which may include when an organisation makes decisions about: the source and nature of the data used to train an AI model; the target output of the model (what is being predicted or classified); the broad kinds of ML algorithms that will be used to create models from the data (eg regression models,",which,explicit,may,permission,include,,data,True,"For example, questions about the types of scenario that could result in an organisation becoming a controller, which may include when an organisation makes decisions about: the source and nature of the data used to train an AI model; the target output of the model (what is being predicted or classified); the broad kinds of ML algorithms that will be used to create models from the data (eg regression models,",rule_candidate,position,choice|position|scope,3,0,1,1,0,1,0,0,0,0,,,,,,
022c930c18687f91,751,"In many cases trade-offs are not precisely quantifiable, but this should not lead to arbitrary decisions.",this,explicit,should,prohibition,lead,,,True,"In many cases trade-offs are not precisely quantifiable, but this should not lead to arbitrary decisions.",rule_candidate,choice,choice,1,0,0,1,0,0,0,0,0,0,,,,,,
022c930c18687f91,793,16 March 2023 - 2.0.0 30 The advantage of consent is that it can lead to more trust and buy-in from individuals when they are using your service.,it,explicit,can,permission,lead,,service,True,16 March 2023 - 2.0.0 30 The advantage of consent is that it can lead to more trust and buy-in from individuals when they are using your service.,rule_candidate,choice,choice,1,0,0,1,0,0,0,0,0,0,,,,,,
022c930c18687f91,890,You should ensure any factors that may result in inaccuracies in personal data are corrected and the risk of errors is minimised.,You,explicit,should,obligation,ensure any factors that may result in,,personal data,True,You should ensure any factors that may result in inaccuracies in personal data are corrected and the risk of errors is minimised.,rule_candidate,choice,choice,1,0,0,1,0,0,0,0,0,0,,,,,,
022c930c18687f91,983,"In brief: “lawfully” means your processing must satisfy an Article 6 lawful basis (and, if required, an Article 9 condition), as well being lawful in more general terms; “fairly” means your processing should not lead to unjustified adverse outcomes for individuals, and should be within their reasonable expectations; and “in a transparent manner” means you must properly inform individuals about how and why you intend to process their personal data.",your processing,explicit,must,obligation,satisfy an Article 6 lawful basis,"if required , an Article 9 condition ) , as well being lawful in more general terms",personal data,True,"In brief: “lawfully” means your processing must satisfy an Article 6 lawful basis (and, if required, an Article 9 condition), as well being lawful in more general terms; “fairly” means your processing should not lead to unjustified adverse outcomes for individuals, and should be within their reasonable expectations; and “in a transparent manner” means you must properly inform individuals about how and why you intend to process their personal data.",rule_candidate,information,choice|information|scope,3,0,0,1,1,1,0,0,0,0,,,,,,
022c930c18687f91,1029,AI systems may process personal data for different purposes at different points in the AI lifecycle.,AI systems,explicit,may,permission,process personal data,for different purposes,personal data,True,"However, defining these purposes in advance and determining an appropriate lawful basis for each is a vital part of ensuring you undertake the processing fairly, and that it results in fair outcomes for individuals.",rule_candidate,scope,choice|scope,2,0,0,1,0,1,0,0,0,0,,,,,,
022c930c18687f91,1050,Accountability Failure to allocate accountability appropriately between processors and controllers can lead to non-compliance with the fairness principle.,Accountability Failure to allocate accountability appropriately between processors and controllers,explicit,can,permission,lead,with the fairness principle,,True,Accountability Failure to allocate accountability appropriately between processors and controllers can lead to non-compliance with the fairness principle.,rule_candidate,payoff,choice|payoff,2,0,0,1,0,0,0,1,0,0,,,,,,
022c930c18687f91,1051,Accountability gaps can lead to unjustifiably adverse effects for individuals or undermine their ability to exercise rights.,Accountability gaps,explicit,can,permission,lead|undermine their ability to exercise rights,,,True,Accountability gaps can lead to unjustifiably adverse effects for individuals or undermine their ability to exercise rights.,rule_candidate,choice,choice,1,0,0,1,0,0,0,0,0,0,,,,,,
022c930c18687f91,1055,Inaccurate input data can lead to inaccurate inferences about individuals that would go against their reasonable expectations or lead to adverse outcomes.,Inaccurate input data,explicit,can,permission,lead,,data,True,Inaccurate input data can lead to inaccurate inferences about individuals that would go against their reasonable expectations or lead to adverse outcomes.,rule_candidate,scope,choice|scope,2,0,0,1,0,1,0,0,0,0,,,,,,
022c930c18687f91,1117,"Why might an AI system lead to discrimination? Before addressing what data protection law requires you to do about the risk of AI and discrimination, and suggesting best practices for compliance, it is helpful to understand how these risks might arise.",,implicit,requires,obligation,do what,,AI system,True,"Why might an AI system lead to discrimination? Before addressing what data protection law requires you to do about the risk of AI and discrimination, and suggesting best practices for compliance, it is helpful to understand how these risks might arise.",rule_candidate,choice,choice,1,0,0,1,0,0,0,0,0,0,,,,,,
022c930c18687f91,1159,"Without thoughtful adoption, AI can lead to a vicious cycle where past patterns of unfairness are replicated and entrenched What are the technical approaches to mitigate",AI,explicit,can,permission,lead,Without thoughtful adoption,,True,"Without thoughtful adoption, AI can lead to a vicious cycle where past patterns of unfairness are replicated and entrenched What are the technical approaches to mitigate",rule_candidate,aggregation,aggregation|choice,2,0,0,1,0,0,1,0,0,0,,,,,,
022c930c18687f91,1175,"Unfairness and discrimination is not limited to impacts on groups for which there is Equality Act protection, but consideration should be given to whether the use of AI may result in unfair outcomes for other groups as well.",consideration,explicit,should,obligation,given|limited,,,True,"Unfairness and discrimination is not limited to impacts on groups for which there is Equality Act protection, but consideration should be given to whether the use of AI may result in unfair outcomes for other groups as well.",rule_candidate,scope,choice|scope,2,0,0,1,0,1,0,0,0,0,,,,,,
022c930c18687f91,1450,"This may indicate a privacy attack and would require prompt investigation, and potential suspension or blocking of a particular user account.",This,explicit,may,permission,"indicate a privacy attack|require prompt investigation , and potential suspension or blocking of a particular user account",,,True,"This may indicate a privacy attack and would require prompt investigation, and potential suspension or blocking of a particular user account.",rule_candidate,position,choice|position,2,0,1,1,0,0,0,0,0,0,,,,,,
022c930c18687f91,1539,"While sharing the gradient derived from a locally trained model presents a lower privacy risk than sharing the training data itself, a gradient can still reveal some personal information about the individuals it was derived from, especially if the model is complex with a lot of fine-grained variables.",a gradient,explicit,can,permission,reveal some personal information about the individuals it was derived from,While sharing the gradient derived from a locally trained model|especially if the model is complex with a lot of fine - grained variables,model,True,"While sharing the gradient derived from a locally trained model presents a lower privacy risk than sharing the training data itself, a gradient can still reveal some personal information about the individuals it was derived from, especially if the model is complex with a lot of fine-grained variables.",rule_candidate,payoff,choice|information|payoff,3,0,0,1,1,0,0,1,0,0,,,,,,
