pc,admissibility,pc_type,tags,short_label,long_label,pos_summary,neg_summary,notes
PC1,inadmissible,structural,"structural_language,structural_masking,structural_multilingual,admissibility_inadmissible",English AI vocab vs masked/non-English,English AI governance vocabulary contrasted with masked tokens and non-English language artifacts.,English AI governance and public-sector framing.,Masked/unmasked tokens and non-English fragments.,"POS evidence: ai, data, digital, intelligence, development, artificial, public, research, artificial intelligence, use, systems, national | NEG evidence: unmasked unmasked, masked medium, masks masked, институциите, учебни програми, работят, учебен процес, постижения, контекста, по изкуства, съвременните, постигане на"
PC2,mixed,mixed,"substantive_ai_governance,structural_us_statute,admissibility_mixed",AI governance vs US defense code,AI governance discourse contrasted with US defense statutory drafting form.,"AI systems, ethics, governance, generative AI.",US code and defense statute scaffolding.,"POS evidence: ai, data, artificial, artificial intelligence, intelligence, ai systems, digital, systems, use, learning, human, models | NEG evidence: section, defense, 22, sec, secretary, 10, shall, subsection, 120721, 10 22, united states, united"
PC3,inadmissible,structural,"structural_language,language_spanish,admissibility_inadmissible",Spanish language axis,Spanish-language surface form dominates variance.,Spanish policy language.,English AI and statutory vocabulary.,"POS evidence: la, el, en, del, que, las, los, digital, para, se, digitales, en el | NEG evidence: ai, section, systems, defense, sec, ai systems, data, secretary, subsection, united states, united, research"
PC4,admissible,admissible,"privacy_data_protection,rights,legal_governance,admissibility_admissible",Data protection governance,Personal data protection and privacy governance contrasted with AI research and systems framing.,"Controller, consent, data subject, privacy architecture.","AI systems, research, generative AI framing.","POS evidence: data, personal, personal data, processing, protection, data protection, information, public, digital, controller, sharing, access | NEG evidence: ai, ai systems, intelligence, artificial, artificial intelligence, 22, research, systems, use ai, generative, generative ai, 10"
PC5,inadmissible,structural,"structural_language,language_bulgarian,admissibility_inadmissible",Bulgarian language axis,Bulgarian-language surface form dominates variance.,Bulgarian education and digital transformation language.,English statutory and cross-lingual boilerplate.,"POS evidence: на, за, да, се, от, по, обучение, да се, които, са, като, образованието | NEG evidence: ai, data, section, sec, subsection, la, defense, inserting, shall, title, secretary, striking"
PC6,inadmissible,structural,"structural_ids_dates,structural_boilerplate,privacy_data_protection,admissibility_inadmissible",IDs and boilerplate residue,Document identifiers and boilerplate dominate variance.,"IDs, dates, headers with privacy terms.",Clean strategy-oriented development language.,"POS evidence: ai, data, personal data, personal, 22, ai systems, 120721, 10 22, la, systems, processing, 10 | NEG evidence: digital, national, development, transformation, education, research, innovation, digital transformation, government, skills, public, economy"
PC7,inadmissible,structural,"structural_ids_dates,structural_headers,admissibility_inadmissible",Document IDs and dates,Identifiers and date fragments dominate variance.,Document IDs and dates.,Congressional drafting markup.,"POS evidence: 22, 120721, 10 22, 10, digital, 24, 2021, al 11, 000000, 000000 po, 6652, 6652 6201 | NEG evidence: section, sec, ai, inserting, subsection, title, defense, striking, united states, contained, provision, united"
PC8,inadmissible,structural,"structural_language,language_german,admissibility_inadmissible",German stopword axis,German-language stopwords dominate variance.,German stopwords.,Data sharing and privacy language.,"POS evidence: die, und, der, des, fur, von, zu, den, das, im, mit, werden | NEG evidence: data, sharing, personal data, 22, data sharing, personal, use, 120721, 10 22, model, privacy, section"
PC9,admissible,admissible,"ai_ethics,research_framing,digital_transformation,admissibility_admissible",Ethics vs digital delivery,AI ethics and research framing contrasted with digital transformation and service delivery.,"Ethics, research, reports, national AI framing.","Digital transformation, services, skills.","POS evidence: artificial, intelligence, artificial intelligence, https, www, https www, org, 2019, pdf, research, gov, personal data | NEG evidence: digital, ai, transformation, skills, services, digital transformation, service, public, digital skills, training, economy, government"
PC10,inadmissible,structural,"structural_legislative,structural_markup,admissibility_inadmissible",Legislative mechanics,Statutory drafting mechanics dominate variance.,"Insert, strike, amend, redesignate.",Conference report scaffolding.,"POS evidence: section, inserting, striking, subsection, amended, paragraph, title, redesignated, digital, amended striking, chapter, transferred | NEG evidence: sec, defense, contained, provision, senate, house, provision sec, amendment, department, senate amendment, amendment contained, house contained"
