corpus,sample_bucket_primary,doc_id,chunk_id,sentence_text,a_raw_text,a_class,d_surface,d_class,i_phrase_text,c_texts,b_text,o_local_present,o_local_text,statement_type_candidate,iad_rule_type_primary,iad_rule_type_hits,iad_rule_type_n_hits,iad_boundary,iad_position,iad_choice,iad_information,iad_scope,iad_aggregation,iad_payoff,manual_keep_as_rule,manual_primary_rule_type,manual_secondary_rule_types,manual_agrees_with_model,manual_confidence,manual_notes,manual_reviewer
Full corpus,boundary,91954d3a5a4c1551,311581,"(a) REVIEW OF THE AIR TRAFFIC SKILLS ASSESSMENT.—Not later than 180 days after the date of enactment of this Act, the Adminis- trator shall review and revise, if necessary, the Air Traffic Skills Assessment (in this section referred to as the ‘‘AT–SA’’) adminis- tered to air traffic controller applicants described in clauses (ii) and (iii) of section 44506(f)(1)(B) of title 49, United States Code, in accordance with the following requirements, the Administrator shall: (1) Evaluate all questions on the AT–SA and determine whether a peer-reviewed job analysis that ensures all questions test job-relevant aptitudes would result in",( a ) REVIEW OF THE AIR TRAFFIC SKILLS ASSESSMENT.—Not,explicit,shall,obligation,review the Air Traffic Skills Assessment ( in this section referred to as the ‘ ‘ AT – SA ’’ )|revise|tered,"if necessary ,|in accordance with the following requirements, the Administrator shall: (1) Evaluate all questions on the AT–SA and determine whether a peer-reviewed job analysis that ensures all questions test job-relevant aptitudes would result in|later than 180 days after the date of enactment of this Act",Assessment,True,"(a) REVIEW OF THE AIR TRAFFIC SKILLS ASSESSMENT.—Not later than 180 days after the date of enactment of this Act, the Adminis- trator shall review and revise, if necessary, the Air Traffic Skills Assessment (in this section referred to as the ‘‘AT–SA’’) adminis- tered to air traffic controller applicants described in clauses (ii) and (iii) of section 44506(f)(1)(B) of title 49, United States Code, in accordance with the following requirements, the Administrator shall: (1) Evaluate all questions on the AT–SA and determine whether a peer-reviewed job analysis that ensures all questions test job-relevant aptitudes would result in",rule_candidate,boundary,boundary|choice|information|position,4,1,1,1,1,0,0,0,,,,,,,
Full corpus,boundary,03807803a9187364,7906,"24 VerDate Nov 24 2008 10:22 Dec 07, 2021 Jkt 000000 PO 00000 Frm 00394 Fmt 6652 Sfmt 6201 C:\\USERS\\HCROSS\\APPDATA\\ROAMING\\SOFTQUAD\\XMET AL\\11.0\\GEN\\C\\RCP.XML H December 7, 2021 (10:22 a.m.) G:\\CMTE\\AS\\22\\C\\RCP.XML g:\\VHLC\\120721\\120721.004.xml (827574|9) 395 (3) S ENTENCING CRITERIA .—Sentencing cri-1 teria established under paragraph (1) shall identify 2 offense-specific factors the military judge should 3 consider and any collateral effects of available pun-4 ishments that may aid the military judge in deter-5 mining an appropriate sentence when there is no ap-6 plicable sentencing parameter for a specific offense.",cri-1 teria established under paragraph ( 1 ),explicit,shall,obligation,identify 2 offense - specific factors the military judge should 3 consider and any collateral effects of available pun-4 ishments that may aid the military judge in deter-5 mining an appropriate sentence when there is no ap-6 plicable sentencing parameter for a specific offense,,,True,"24 VerDate Nov 24 2008 10:22 Dec 07, 2021 Jkt 000000 PO 00000 Frm 00394 Fmt 6652 Sfmt 6201 C:\\USERS\\HCROSS\\APPDATA\\ROAMING\\SOFTQUAD\\XMET AL\\11.0\\GEN\\C\\RCP.XML H December 7, 2021 (10:22 a.m.) G:\\CMTE\\AS\\22\\C\\RCP.XML g:\\VHLC\\120721\\120721.004.xml (827574|9) 395 (3) S ENTENCING CRITERIA .—Sentencing cri-1 teria established under paragraph (1) shall identify 2 offense-specific factors the military judge should 3 consider and any collateral effects of available pun-4 ishments that may aid the military judge in deter-5 mining an appropriate sentence when there is no ap-6 plicable sentencing parameter for a specific offense.",rule_candidate,boundary,boundary|choice|position,3,1,1,1,0,0,0,0,,,,,,,
Full corpus,boundary,2e020d8fa65b7349,125567,"Failure to pay the fee and its accreditation may give rise to the application of the sanctions provided for in Article 15 of Law No. 27,506 and its amendment.",Failure to pay the fee and its accreditation,explicit,may,permission,give rise,,,True,"Failure to pay the fee and its accreditation may give rise to the application of the sanctions provided for in Article 15 of Law No. 27,506 and its amendment.",rule_candidate,boundary,boundary|choice|payoff,3,1,0,1,0,0,0,1,,,,,,,
Full corpus,boundary,816f979923541208,260155,"The Senate recedes with an amendment that would eliminate in subsection (a) the possibility for indefinite postponements of the transfer date; eliminate in subsection (d) the requirement that SBA conduct risk-based examinations of certified firms separate from periodic recertification examinations; clarify in subsections (d) and (e) enforcement and penalties language to better conform to rel- evant sections of the Small Business Act; and clarify in subsection (g) that VA personnel are not directed to be transferred and shall be guaranteed continuous employment, and that legal documents, proceedings, suits, and administrative actions shall continue not- withstanding the transfer of the certification function.",,implicit,shall,obligation,guaranteed continuous employment|directed|continue,,,True,"The Senate recedes with an amendment that would eliminate in subsection (a) the possibility for indefinite postponements of the transfer date; eliminate in subsection (d) the requirement that SBA conduct risk-based examinations of certified firms separate from periodic recertification examinations; clarify in subsections (d) and (e) enforcement and penalties language to better conform to rel- evant sections of the Small Business Act; and clarify in subsection (g) that VA personnel are not directed to be transferred and shall be guaranteed continuous employment, and that legal documents, proceedings, suits, and administrative actions shall continue not- withstanding the transfer of the certification function.",rule_candidate,boundary,boundary|choice|payoff,3,1,0,1,0,0,0,1,,,,,,,
Full corpus,boundary,04b688f2ea13fc0f,29502,"2. Where needed f or car r ying out their tasks under this Regulation, Digital Ser vices Coordinator s shall hav e the f ollo wing enf orcement po wers, in respect of providers of interm ediar y ser vices f alling within the compet ence of their Member State: (a) the po wer to accept the commitments offe red by those providers in relation to their compliance with this Regulation and to mak e those commitments binding; (b) the po wer to order the cessation of infr ingements and, where appropr iate, to impos e remedies propor tionate to the infr ing ement and necessar y to br ing the infr ingemen t effectively to an end, or to request a judicial author ity in their Member Stat e to do so; (c) the power to im pose fines, or to request a judicial author ity in their Member State to do so, in accordance with Ar ticle 52 f or failure to compl y with this Regulation, including with an y of the inv estigative orders issued pursuant to paragraph 1 of this Ar ticle; (d) the power to im pose a per iodic penalty pa yment, or to request a judicial author ity in their Member State to do so, in accordance with Ar ticle 52 to ensure that an infr ing ement is term inate d in compl iance with an order issued pursuant to point (b) of this subparagraph or f or failure to compl y with an y of the inv estigat ive orders issued pursuant to paragraph 1 of this Ar ticle; (e) the po wer to adopt interim measures or to request the compe tent national judicial author ity in their Member Stat e to do so, to av oid the r isk of ser ious har m. EN Offi cial Jour nal of the European Uni on L 277/80 27.10.2022",Digital Ser vices Coordinator s,explicit,shall,obligation,"hav e m pose a per iodic penalty pa yment , or to request a judicial author ity in their Member State to do so , in accordance with Ar ticle 52 to ensure that an infr ing ement is term inate d in compl iance with an order issued pursuant to point ( b ) of this subparagraph or f or failure to compl y with an y of the inv estigat i ve orders issued pursuant to paragraph 1 of this Ar ticle|pose fines|issued pursuant to paragraph 1 of this Ar ticle|request a judicial author ity in their Member State","in accordance with Ar ticle 52 f or failure to compl y with this Regulation, including with an y of the inv estigative orders issued pursuant to paragraph 1 of this Ar ticle; (d) the power to im pose a per iodic penalty pa yment, or to request a judicial author ity in their Member State to do so, in accordance with Ar ticle 52 to ensure that an infr ing ement is term inate d in compl iance with an order issued pursuant to point (b) of this subparagraph or f or failure to compl y with an y of the inv estigat ive orders issued pursuant to paragraph 1 of this Ar ticle; (e) the po wer to adopt interim measures or to request the compe tent national judicial author ity in their Member Stat e to do so, to av oid the r isk of ser ious har m. EN Offi cial Jour nal of the European Uni on L 277/80 27.10.2022",,True,"2. Where needed f or car r ying out their tasks under this Regulation, Digital Ser vices Coordinator s shall hav e the f ollo wing enf orcement po wers, in respect of providers of interm ediar y ser vices f alling within the compet ence of their Member State: (a) the po wer to accept the commitments offe red by those providers in relation to their compliance with this Regulation and to mak e those commitments binding; (b) the po wer to order the cessation of infr ingements and, where appropr iate, to impos e remedies propor tionate to the infr ing ement and necessar y to br ing the infr ingemen t effectively to an end, or to request a judicial author ity in their Member Stat e to do so; (c) the power to im pose fines, or to request a judicial author ity in their Member State to do so, in accordance with Ar ticle 52 f or failure to compl y with this Regulation, including with an y of the inv estigative orders issued pursuant to paragraph 1 of this Ar ticle; (d) the power to im pose a per iodic penalty pa yment, or to request a judicial author ity in their Member State to do so, in accordance with Ar ticle 52 to ensure that an infr ing ement is term inate d in compl iance with an order issued pursuant to point (b) of this subparagraph or f or failure to compl y with an y of the inv estigat ive orders issued pursuant to paragraph 1 of this Ar ticle; (e) the po wer to adopt interim measures or to request the compe tent national judicial author ity in their Member Stat e to do so, to av oid the r isk of ser ious har m. EN Offi cial Jour nal of the European Uni on L 277/80 27.10.2022",rule_candidate,boundary,aggregation|boundary|choice|payoff|position,5,1,1,1,0,0,1,1,,,,,,,
Full corpus,boundary,4f2e9722dfa47b99,166850,"Source: AlphaBeta 2017, The automation advantage, AlphaBeta, Sydney, <http:/ /www.alphabeta.com/the-automation-advantage>, p. 15. outcomes-based funding similar to the ‘Gainful Employment’ model in the United States.87 A pressing priority in recent years has been the reform of the VET-FEE HELP scheme88 to achieve sufficient protection of students and accountability and compliance monitoring for providers, and to limit cost blowouts.89 Recent changes made under the new VET student loans scheme are a promising step towards greater accountability for providers, including options for Australian Competition and Consumer Commission intervention to shut down non- compliant providers, reforms to loan issuance, and increased information available for students on course quality through the Myskills website.90 ISA supports the proposal, currently under review by the Australian Government Department of Education and Training, to issue an ‘approved course list’ for Australian Government loans where the approved course list is linked to employment outcome metrics.91 There may be further opportunities to improve compliance and quality control by empowering the Australian Skills Quality Authority to more easily shut down non-compliant providers rather than relying on external support from the Australian Competition and Consumer Commission, and expanding 87 Under the G ainful Employment Rule, to be eligible for funding under student assistance programs, an educational program must lead to a degree at a non-profit or public institution, or must prepare students for ‘gainful employment in a recognized occupation’ <https:/",,implicit,may,permission,be,,model,True,"Source: AlphaBeta 2017, The automation advantage, AlphaBeta, Sydney, <http:/ /www.alphabeta.com/the-automation-advantage>, p. 15. outcomes-based funding similar to the ‘Gainful Employment’ model in the United States.87 A pressing priority in recent years has been the reform of the VET-FEE HELP scheme88 to achieve sufficient protection of students and accountability and compliance monitoring for providers, and to limit cost blowouts.89 Recent changes made under the new VET student loans scheme are a promising step towards greater accountability for providers, including options for Australian Competition and Consumer Commission intervention to shut down non- compliant providers, reforms to loan issuance, and increased information available for students on course quality through the Myskills website.90 ISA supports the proposal, currently under review by the Australian Government Department of Education and Training, to issue an ‘approved course list’ for Australian Government loans where the approved course list is linked to employment outcome metrics.91 There may be further opportunities to improve compliance and quality control by empowering the Australian Skills Quality Authority to more easily shut down non-compliant providers rather than relying on external support from the Australian Competition and Consumer Commission, and expanding 87 Under the G ainful Employment Rule, to be eligible for funding under student assistance programs, an educational program must lead to a degree at a non-profit or public institution, or must prepare students for ‘gainful employment in a recognized occupation’ <https:/",rule_candidate,boundary,boundary|choice|information|payoff|position|scope,6,1,1,1,1,1,0,1,,,,,,,
Full corpus,boundary,816f979923541208,262761,"The briefing should include the plans of the Secretary with respect to the following: (1) Verifying that the Air Force is deploying tested and field- proven physical security designs of such facilities, including with respect to forced entry, blast and ballistic resistant barrier systems, that incorporate multiple reactive countermeasures for protection against the dedicated adversary threat classification level; (2) Streamlining the procurement of the infrastructure to pro- tect ground-based strategic deterrent weapons by ensuring that the physical security designs of such facilities are appropriately tai- lored to the threat; (3) Ensuring that competitive procedures are used in awarding a contract for the physical security design of such facilities that in- VerDate Sep 11 2014 06:08 Dec 13, 2020 Jkt 042147 PO 00000 Frm 01909 Fmt 6601 Sfmt 6601 E:\\HR\\OC\\HR617.XXX HR617SSpencer on DSK126QN23PROD with REPORTS 1864 clude a fair consideration of such designs that are successfully used at other similar facilities; and (4) Ensuring that the physical security design for which such contract is awarded: (a) Meets the security requirements of all planned mod- ernization projects for the nuclear weapons storage and main- tenance facilities of the Air Force; and (b) Does not result in higher and additional costs to shore up existing infrastructure at such facilities.",The briefing,explicit,should,obligation,include the plans of the Secretary with respect to the following,,systems,True,"The briefing should include the plans of the Secretary with respect to the following: (1) Verifying that the Air Force is deploying tested and field- proven physical security designs of such facilities, including with respect to forced entry, blast and ballistic resistant barrier systems, that incorporate multiple reactive countermeasures for protection against the dedicated adversary threat classification level; (2) Streamlining the procurement of the infrastructure to pro- tect ground-based strategic deterrent weapons by ensuring that the physical security designs of such facilities are appropriately tai- lored to the threat; (3) Ensuring that competitive procedures are used in awarding a contract for the physical security design of such facilities that in- VerDate Sep 11 2014 06:08 Dec 13, 2020 Jkt 042147 PO 00000 Frm 01909 Fmt 6601 Sfmt 6601 E:\\HR\\OC\\HR617.XXX HR617SSpencer on DSK126QN23PROD with REPORTS 1864 clude a fair consideration of such designs that are successfully used at other similar facilities; and (4) Ensuring that the physical security design for which such contract is awarded: (a) Meets the security requirements of all planned mod- ernization projects for the nuclear weapons storage and main- tenance facilities of the Air Force; and (b) Does not result in higher and additional costs to shore up existing infrastructure at such facilities.",rule_candidate,boundary,boundary|choice|information|position,4,1,1,1,1,0,0,0,,,,,,,
Full corpus,boundary,816f979923541208,239469,"‘‘(b) E NFORCEMENT; PENALTIES.— ‘‘(1) VERIFICATION OF ELIGIBILITY .—In carrying out this sec- tion, the Administrator shall establish procedures relating to— ‘‘(A) the filing, investigation, and disposition by the Ad- ministration of any challenge to the eligibility of a small business concern to receive assistance under section 36 (in- cluding a challenge, filed by an interested party, relating to the veracity of a certification made or information provided to the Administration by a small business concern under subsection (a)); and ‘‘(B) verification by the Administrator of the accuracy of any certification made or information provided to the",the Administrator,explicit,shall,obligation,"establish procedures relating to — ‘ ‘ ( A ) the filing , investigation , and disposition by the Ad- ministration of any challenge to the eligibility of a small business concern to receive assistance under section 36 ( in- cluding a challenge , filed by an interested party , relating to the veracity of a certification made or information provided to the Administration by a small business concern under subsection ( a )",,,True,"‘‘(b) E NFORCEMENT; PENALTIES.— ‘‘(1) VERIFICATION OF ELIGIBILITY .—In carrying out this sec- tion, the Administrator shall establish procedures relating to— ‘‘(A) the filing, investigation, and disposition by the Ad- ministration of any challenge to the eligibility of a small business concern to receive assistance under section 36 (in- cluding a challenge, filed by an interested party, relating to the veracity of a certification made or information provided to the Administration by a small business concern under subsection (a)); and ‘‘(B) verification by the Administrator of the accuracy of any certification made or information provided to the",rule_candidate,boundary,boundary|choice|information|payoff|position,5,1,1,1,1,0,0,1,,,,,,,
Full corpus,position,1fda09b5e2732a41,102069,Section 50 The Director of NRCT shall have the duties and powers to (1) manage NRCT's work to achieve results in accordance with NRCT's missions and regulations; (2) Money or property that has been donated or given.,Section 50 The Director of NRCT,explicit,shall,obligation,have the duties and powers to ( 1,in accordance with NRCT's missions and regulations; (2) Money or property that has been donated or given.,,True,Section 50 The Director of NRCT shall have the duties and powers to (1) manage NRCT's work to achieve results in accordance with NRCT's missions and regulations; (2) Money or property that has been donated or given.,rule_candidate,position,choice|position,2,0,1,1,0,0,0,0,,,,,,,
Full corpus,position,dc88bdaa5e146e2d,423896,The national compet ent author ity enf orcing competiti on r ules should repor t on its fi ndings on possible non-compliance by gat eke epers with cer tain oblig ations under this Regulation to the Commission in view of the Commission opening proceedings to investig ate any non-com pliance as the sole enf orcer of the provisions laid down by this Regulation.,The national compet ent author ity enf,explicit,should,obligation,repor t,in view of the Commission opening proceedings,,True,The national compet ent author ity enf orcing competiti on r ules should repor t on its fi ndings on possible non-compliance by gat eke epers with cer tain oblig ations under this Regulation to the Commission in view of the Commission opening proceedings to investig ate any non-com pliance as the sole enf orcer of the provisions laid down by this Regulation.,rule_candidate,position,choice|position,2,0,1,1,0,0,0,0,,,,,,,
