pc,label,short_description,notes,coder,category
1,General AI Strategy & Public Sector Modernization,"Broad, high-level discourse framing AI as a public-sector and societal development priority, largely detached from sector-specific regulation.",,auto_proposed,substantive
2,Operational AI Systems & Technical Deployment,"Language focused on the deployment, use, and functioning of AI systems, contrasted with formal legal or administrative structuring text.",,auto_proposed,substantive
3,Non-English (Spanish) Policy Narrative,A language-driven component capturing Spanish-language policy narrative distinct from English-dominant AI governance text.,,auto_proposed,language_artifact
4,AI Systems Governance vs. Data Protection Regulation,A contrast between AI systems–focused regulatory text and traditional personal data protection and privacy compliance language.,,auto_proposed,substantive
5,Personal Data Processing & Compliance Infrastructure,"Emphasis on personal data processing and compliance mechanisms, contrasted with national security or defense-oriented statutory text.",,auto_proposed,substantive
6,Non-English Education & Training Discourse,"Education- and training-related policy language expressed in non-English (primarily Bulgarian), distinct from English AI governance and data protection text.",,auto_proposed,language_artifact
7,Formal AI & Data Protection Legal Structuring,"Statutory and regulatory drafting language governing AI and personal data, contrasted with broader innovation and skills-oriented policy strategy.",,auto_proposed,substantive
8,Non-English (German) Policy Narrative,German-language policy narrative distinct from English-language data governance and privacy regulation text.,,auto_proposed,language_artifact
9,Research Citation & Referential Framing of AI,"AI policy language anchored in references to reports, research documents, and external sources, contrasted with implementation-oriented digital transformation discourse.",,auto_proposed,documentary_artifact
10,Legislative Amendment & Statutory Editing Mechanics,"Formal legislative amendment language indicating how statutes are modified, independent of substantive policy domains.",,auto_proposed,drafting_artifact
11,National Statutory Amendment vs. EU Regulatory Text,A component distinguishing national-level legislative amendment mechanics from EU-style regulatory drafting and institutional authority language.,,auto_proposed,drafting_artifact
12,UK Government Documentary & Publication Metadata,"Language indicating UK government publication sources and web-based document references, contrasted with substantive AI and data governance content.",,auto_proposed,documentary_artifact
13,Digital Government & Public Service Transformation,"Policy language focused on digital transformation of government services and rights, contrasted with research and innovation funding discourse.",,auto_proposed,substantive
14,EU AI Strategy & Regulatory Framing,"Strategic and regulatory framing of AI at the EU level, contrasted with system-level and technical decision-making language.",,auto_proposed,substantive
15,Operational AI Systems & Digital Transformation,"Emphasis on machine learning systems and operational digital transformation, contrasted with public-sector governance, oversight, and scientific advisory structures.",,auto_proposed,substantive
16,Data Protection & Rights-Based Regulation vs ML Systems,A strong contrast between rights-based legal regulation of personal data and technical discourse on machine learning models and systems.,,auto_proposed,substantive
17,Public Sector AI Decision-Making & Governance,"Focus on the use of AI in public-sector decision-making and governance, contrasted with research/education/technical ML discourse and web/document references.",,auto_proposed,substantive
18,National Security & Defense AI Governance,"Institutional language tied to national security and defense governance structures (secretaries, committees, programs), contrasted with legislative amendment scaffolding and EU legal framing.",,auto_proposed,substantive
19,"Education, Skills & Workforce Development","Policy language centered on education, skills development, and online learning infrastructures, contrasted with EU cloud/service management and broader digital service governance.",,auto_proposed,substantive
20,Program-Specific Implementation (School Innovation / PNRR SmartLabs),"A document-specific implementation component capturing references to a particular school innovation program (SmartLabs/PNRR), contrasted with general science and ML development discourse.",,auto_proposed,program_specific
21,EU Security & Sensitive Data Governance,"EU-oriented governance language focused on security of systems and sensitive personal (including health) data, contrasted with national legislative amendment processes.",,auto_proposed,substantive
22,National Education Innovation Programs (PNRR / SmartLabs),"Document-specific language tied to nationally funded school innovation initiatives (e.g., PNRR SmartLabs), contrasted with broader EU digital economy and regulatory discourse.",,auto_proposed,program_specific
23,"EU Education, Research & Strategic Decision Frameworks","European-level education and research governance language associated with Horizon programs and strategic decision-making, contrasted with operational AI systems and public service implementation.",,auto_proposed,substantive
24,"Education, Training & Skills Policy (Including Generative AI)","Policy discourse focused on education, training, skills development, and student-oriented initiatives, including emerging attention to generative AI, contrasted with infrastructure and security domains.",,auto_proposed,substantive
25,Health & Care Applications of Generative AI,"Language emphasizing healthcare and care-sector applications of generative AI, including information services and education, contrasted with industrial ML and innovation governance.",,auto_proposed,substantive
